"entity_key","date","year","year_season","year_quarter","year_month","year_week","season_number","season","season_de","season_einkauf","month","week","day_of_month","day_of_week","day_name","month_name","last_day_of_month","last_day_of_week","business_day","working_days","next_ship_day"
127,2012-05-06,2012,"2012-1-SS","2012-Q2","2012-05","2012-18",1,SS,FS,FS12,5,18,6,7,Sunday   ,May      ,2012-05-31,2012-05-06,2012-05-07,0,2012-05-07
128,2012-05-07,2012,"2012-1-SS","2012-Q2","2012-05","2012-19",1,SS,FS,FS12,5,19,7,1,Monday   ,May      ,2012-05-31,2012-05-13,2012-05-07,1,2012-05-08
129,2012-05-08,2012,"2012-1-SS","2012-Q2","2012-05","2012-19",1,SS,FS,FS12,5,19,8,2,Tuesday  ,May      ,2012-05-31,2012-05-13,2012-05-08,1,2012-05-09
130,2012-05-09,2012,"2012-1-SS","2012-Q2","2012-05","2012-19",1,SS,FS,FS12,5,19,9,3,Wednesday,May      ,2012-05-31,2012-05-13,2012-05-09,1,2012-05-10
131,2012-05-10,2012,"2012-1-SS","2012-Q2","2012-05","2012-19",1,SS,FS,FS12,5,19,10,4,Thursday ,May      ,2012-05-31,2012-05-13,2012-05-10,1,2012-05-11
132,2012-05-11,2012,"2012-1-SS","2012-Q2","2012-05","2012-19",1,SS,FS,FS12,5,19,11,5,Friday   ,May      ,2012-05-31,2012-05-13,2012-05-11,1,2012-05-14
133,2012-05-12,2012,"2012-1-SS","2012-Q2","2012-05","2012-19",1,SS,FS,FS12,5,19,12,6,Saturday ,May      ,2012-05-31,2012-05-13,2012-05-14,0,2012-05-14
134,2012-05-13,2012,"2012-1-SS","2012-Q2","2012-05","2012-19",1,SS,FS,FS12,5,19,13,7,Sunday   ,May      ,2012-05-31,2012-05-13,2012-05-14,0,2012-05-14
135,2012-05-14,2012,"2012-1-SS","2012-Q2","2012-05","2012-20",1,SS,FS,FS12,5,20,14,1,Monday   ,May      ,2012-05-31,2012-05-20,2012-05-14,1,2012-05-15
136,2012-05-15,2012,"2012-1-SS","2012-Q2","2012-05","2012-20",1,SS,FS,FS12,5,20,15,2,Tuesday  ,May      ,2012-05-31,2012-05-20,2012-05-15,1,2012-05-16
